username,password,balance,email,level,uid,cart,name,approved,warning,spent,orders
r,r,200,r@gmail.com,1,0,"11,11,19,0",,1,0,0,0
vip,vip,75,vip@gmail.com,2,1,,,1,0,0,0
d1,d1,,d1@gmail.com,3,2,,D1,1,,,
chef1,chef1,,chef1@gmail.com,4,3,,A,1,,,
chef2,chef2,,chef12@gmail.com,4,4,,B,1,,,
chef3,chef3,,chef3@gamail.com,4,5,,C,1,,,
admin,admin,,rafaellichen@gmail.com,5,6,,,1,,,
d2,d2,,d2@gamil.com,3,7,,D2,1,,,
temp,temp,100,temp@gmail.com,1,8,,,0,0,0,0
test,test,100,test@gmail.com,1,9,,,0,0,0,0
qwe,qwe,150,qwe@gmail.com,1,10,"0,2,19,4,5,9,11",,1,0,0,0
123,123,0,123@gmail.com,1,11,,,-1,0,0,0
1234,1234,50,1234@gmail.com,1,12,,,1,0,0,0
r2,r2,0,r2,1,13,,,-1,0,0,0
1,1,50,1@gmail.com,1,14,,,0,0,0,0
12,12,50,12@gmail.com,1,15,,,1,0,0,0
chef4,chef4,,chef4@gmail.com,4,16,,R,-1,,,
d3,d3,,d3@gmail.com,3,17,,d3,1,,,
